codpro;Provincia;departamentos;codmun;Municipio;IPU;grupo;clase;Bogotá, D.C.;Medellín;Barranquilla;Cali;Cúcuta;Cartagena;Manizales;Pereira;Bucaramanga;Armenia;Santa Marta;Villavicencio;Ibagué;Sincelejo;Mosquera;San Andrés;Valledupar;Zipaquirá;Montería;Sabanalarga;Neiva;Pasto;Girardot;Tuluá;Cartago;Tunja;Buenaventura;Sogamoso;Barrancabermeja;Fusagasugá;Popayán;Rionegro;Magangué;Aguachica;Florencia;Chiquinquirá;Yopal;Riohacha;La Dorada;Campo de La Cruz;Sevilla;Apartadó;Fonseca;El Carmen de Bolívar;Quibdó;Mariquita;Ocaña;Pamplona;Caucasia;Santander de Quilichao;Arauca;Lorica;Fundación;Bosconia;Montelíbano;Plato;Melgar;La Jagua de Ibirico;Anserma;San Gil;Juan de Acosta;Ipiales;Pitalito;Sahagún;Santiago de Tolú;Saravena;Villa de San Diego de Ubate;Puerto Boyacá;El Banco;Leticia;San Andrés de Tumaco;Providencia;Garzón;Andes;Granada;Puerto Asís;Líbano;Yarumal;Segovia;Aguadas;Tierralta;Mompós;Jericó;Mocoa;Pivijay;Riosucio;La Plata;San Marcos;Socorro;Villeta;Guamo;La Mesa;Málaga;Istmina;San Pablo;Garagoa;Barbosa;Manzanares;Sonsón;Chocontá;Moniquirá;Urrao;San Rafael;Santafé de Antioquia;Puerto Carreño;Belén de Umbría;Chaparral;Paz de Ariporo;Chinácota;Guaduas;Tibú;San José del Guaviare;Puerto Gaitán;La Unión;Pacho;Soatá;Túquerres;San Martín de Loba;San Vicente del Caguán;Caqueza;Cimitarra;Majagual;San Bernardo del Viento;Olaya Herrera;Miraflores;Barranca de Upía;Belén;Muzo;Barbacoas;Guasca;Patía;Ramiriquí;Guapi;Dabeiba;Riosucio;Salazar;Puerto Rondón;Bahía Solano;San Juan de Río Seco;Inírida;Achí;El Cocuy;Manaure;Silvia;Bajo Baudó;Curillo;Mitú;Leguízamo;Labranzagrande;La Primavera
840;Norte;Huila;41001;Neiva;60,25640667;Intermedia;Cercana a Urbana;20987;;;;;;;;;;;;12021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11501;;;;;;13409;;;;;;;;;;8436;;;;18287;;;;;;;;;;8422;;;;7973;15488;;;;;;;;;;;;;;;13671;;;18445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17006;;;;;;;;;;;
980;Centro;Nariño, Putumayo;52001;Pasto;59,89383921;Intermedia;Alejada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5896;;;;;;;;;18705;;;;;;;;;;;;;18281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8518;;;5008;;;;;;;;;;;;17845;;13752;;;;;;;;;;;;;;;;;;;
670;Alto Magdalena;Cundinamarca, Tolima;25307;Girardot;58,76288813;Intermedia;Periurbana;11871;;;;;;19683;17057;;14519;;18954;4469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2088;;19092;;;;;;;;16492;13294;;;;;18380;;;;9189;;;;;;;;;;18366;;;13328;3761;4874;;;;20730;;15104;;14918;;;;;;18714;10177;;;9347;;;;;17249;;;;;13912;20217;;;;;;;;;15035;;20003;;;;;;;7907;;;;;;;;;;;
1350;Centro;Valle del Cauca;76834;Tuluá;57,60119713;Intermedia;Periurbana;;;;6028;;;11185;7249;;5748;;;13893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20939;;9650;;;;;;;;;;;;;;;;;;;;;;;;20961;;;12532;;;;;20352;;;;;;;21415;;;;;;;;9272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13561;;;;;;
1360;Norte;Valle del Cauca;76147;Cartago;56,93407183;Intermedia;Periurbana;;20941;;10213;;;6719;2783;;4609;;;12679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19759;;5222;;;;;;;;;;;;;;;18231;;;;;;17500;;;16533;;;8104;;;;;19172;;;17679;;;;16987;;;;;;19763;;4844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17759;;;;;;
240;Centro;Boyacá;15001;Tunja;56,86466556;Intermedia;Cercana a Metropolitana;7990;;;;;;;;;;;19103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17440;;;13945;;;;;;;8638;;;;;;;;;;;;;;;;;;;;;;12042;14051;20797;13667;17907;;;9411;5300;;;3814;4524;;;;;;;;;17671;;;;;11206;11786;;;;14253;16101;;;;12563;18467;5769;14559;;6950;;3008;;;;;;;17086;;;;;;;;;;15551;
1370;Buenaventura;Valle del Cauca;76109;Buenaventura;56,70616587;Intermedia;Cercana a Metropolitana;;;;9224;;;20883;16948;;15447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18591;;;;;;;;;;;;;;;;;;;;;;;;;;;21473;;;;;;;;;;;;;;;;;;;;18213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18671;;;;;;
340;Sugamuxi-Tundama;Boyacá;15759;Sogamoso;55,43914922;Intermedia;Cercana a Metropolitana;12128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21341;;;17781;;;;;;;12539;;;;;;;;;;;;;;;;;;;;;;15878;17953;;17569;16131;;;13312;9137;;;7715;8361;;;;;;;19297;;21572;;;;;15108;10010;;;;18155;19938;;;;16465;;3992;19200;;10851;;6909;;;;;;;20988;;;20128;;;;;;;10673;
1210;Mares;Santander;68081;Barrancabermeja;54,29012893;Intermedia;Cercana a Urbana;;;;;;;;;8626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18989;;17606;;;;;;;;11026;15767;;;;;;;;;;;;;21232;;;;;;;19752;20682;;;;;;;18098;;;;19061;;;;;;;;;16721;;;;;;;;;;;7366;;;;;;;;;;;;;;;;;;20865;;;;;;;;;;;
780;Sumapaz;Cundinamarca;25290;Fusagasugá;53,59785398;Intermedia;Perimetropolitana;7295;;;;;;;21169;;18632;;14378;8582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4106;;;;;;;;;;13068;17928;;;;;;;20084;;13823;;;;;;;;;;;;;11882;7468;7031;;;;17088;19928;19775;;11494;19153;;;;;;14071;;;13981;;;;;13825;;;;;9982;;;;;;;19732;;;11116;;16361;;;;;;;12460;;;;;;;;;;;
450;Centro;Cauca;19001;Popayán;53,11369122;Intermedia;Cercana a Metropolitana;;;;10413;;;;20538;;19037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16246;;;;;;;;;;21156;;;;;;;;;;;;;;15460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9244;;;;;;;;;;;;;5208;;;;;;
70;Oriente Próximo;Antioquia;5615;Rionegro;52,03584311;Intermedia;Perimetropolitana;;3045;;;;;21012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20080;;;;;;;;;14539;;;;;;12345;;;;11723;16925;15341;;;11903;;;17126;;;;;;;;;;;;;7995;;;17490;6927;10019;;;;;;17954;;;;;;;;;;;21098;;;;;;;;;;;;;21367;;;;;;;;;;;;;;;;
1270;Sabanas;Bolívar, Sucre;13430;Magangué;51,95050222;Intermedia;Periurbana;;;17694;;;14278;;;;;18953;;;6354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13230;8915;16577;9092;;14679;;;16965;;;8639;9106;;;;9918;;;;;;;;;;;;16401;4404;;;17385;;;12483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17627;13427;;;;;;;;;;;;;;;;;;18400;;;;;;;;;
530;Sur;Cesar;20011;Aguachica;51,35349378;Intermedia;Cercana a Urbana;;;;;;;;;12232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16582;12494;;19849;;9790;;;;;;;;;;18650;6567;;;;;;;;;;;;;12033;;;20736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431;Florencia;Caquetá;18001;Florencia;50,79090729;Intermedia;Alejada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10409;;;;;;;;;;9685;;;;;;;;;;;;;;14551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11062;;;;;;;;;;;;;;;;;;;;;;;;;;;7440;;;;
310;Occidente;Boyacá;15176;Chiquinquirá;50,07592559;Intermedia;Cercana a Metropolitana;9827;;;;;;;;;;;20964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19605;;;12800;;;;;;;4096;20702;;;;;;;;;;;;;;;;;;;;;10897;15990;;15606;;;;15236;3982;;;9199;4945;;;;;;;;;19610;;;;;11661;17945;;;;16418;14633;;;;18727;;11927;10831;;10827;;9172;;;;;;;19025;;;;;;;;;;;
441;Piedemonte;Casanare;85001;Yopal;49,14884571;Intermedia;Alejada;;;;;;;;;;;;21393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18180;;;;;;;;;;;;5916;;;;;;;;;;;;;;;;;;12484;20558;;;;;;;;;;16004;;;;;;;;;;;;5956;
871;Centro;La Guajira;44001;Riohacha;48,50597541;Intermedia;Cercana a Urbana;;;16870;;;;;;;;10418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15535;17380;;;;17808;;;19437;;;;;;;;;;;;;;;;;;;;;;;;19611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4827;;;;;;;
420;Oriente;Caldas, Cundinamarca;17380;La Dorada;48,37186162;Intermedia;Cercana a Urbana;16882;18010;;;;;15380;19298;20421;;;;11730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10372;;20763;;;;;;;;19573;4279;;;;;;;;;8529;;;;;;;;;;;;;8042;10967;12970;;;;;;9701;;17999;;;17185;;;;17382;;;4081;;;;;14546;;;;;20366;11202;;;;;;;18392;;18116;;;;;;;;;7227;;;;;;;;;;;
140;Sur;Atlántico;8137;Campo de La Cruz;48,31592675;Intermedia;Perimetropolitana;;;6289;;;6631;;;;;11497;;;10004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13634;15362;20290;8462;;21126;;;5618;;;12353;9186;;;;21484;;;;;;;;;;;;20115;15970;;;13532;;;16197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21341;14719;;;;;;;;;;;;;;;;;;;;;;;;;;;
1110;Cordilleranos;Quindio, Valle del Cauca;76736;Sevilla;47,18692173;Intermedia;Periurbana;;;;9351;;;12325;8390;;4463;;;12407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19265;;10946;;;;;;;;;;;;;;;;;;;;;;;;;;;13828;;;;;18649;;;;;;;;;;;;;;;10568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16922;;;;;;
91;Urabá Norte;Antioquia;5045;Apartadó;46,75101307;Intermedia;Alejada;;;;;;;;;;;;;;20532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19948;;;;;;;;;18601;19750;;;;;;;;;;;;;;;;13306;;;;;;;20120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17745;;;;;;;;;;;10907;12180;;;;;;;;;;;;;;;
880;Sur;La Guajira;44279;Fonseca;45,51880823;Intermedia;Alejada;;;;;;;;;;;15826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14062;10091;;17430;;10519;;;;;;;;;;;18312;;;;;;;;;;;;;18712;;;18217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8869;;;;;;;
230;Montes de María;Bolívar, Sucre;13244;El Carmen de Bolívar;45,4312188;Intermedia;Periurbana;;;11183;;;7778;;;;;16391;;;4998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14809;10493;15426;3594;;16257;;;10563;;;7488;7954;;;;16619;;;;;;;;;;;;15250;11105;;;14939;;;11332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16476;12276;;;;;;;;;;;;;;;;;;17249;;;;;;;;;
540;Atrato;Chocó;27001;Quibdó;45,21318087;Intermedia;Alejada;;;;;;;;21415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16551;;;;;;;;;18477;;;;;;;;;;;6332;;;;;;;;;;19861;;20652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1290;Norte;Tolima;73443;Mariquita;44,94592396;Intermedia;Cercana a Urbana;15665;21030;;;;;11857;15776;;18256;;;8206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9378;;17318;;;;;;;;19893;7449;;;;;;;;;5011;;;;;;;;;18935;;;;8362;9972;11975;;;;;;7194;;18319;;;20355;;;18952;16388;;;4381;;;;;17113;;;;;20024;14372;;;;;;;21551;;18436;;;;;;;;;6233;;;;;;;;;;;
1050;Occidente;Norte de Santander;54498;Ocaña;44,55297816;Intermedia;Alejada;;;;;17558;;;;16519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21124;17035;;;;14331;;;;;;;;;;;11109;;;;;;;;;;;;;16574;;;;;;;;;;;;;;;;;;;;;;;;;;;21280;;20880;;;;;;;;;;19064;;;;;;;;;;;;;;;21408;;;;;;;;;;;;;;
1070;Suroccidente;Norte de Santander;54518;Pamplona;44,47692182;Intermedia;Periurbana;;;;;6541;;;;12066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12853;;;;;;;;;;;;;;;;5135;;17551;;;;;19114;;;;;;;;;;;;;;;;;;;;11330;;;;;;;;;;;;;;
